ablation_id,ci95_hi,ci95_lo,codec_id,mean,median,metric,n,palette_count
beam_rvq_group,1600.7085432053523,1406.5179280167893,dac,1533.5521221471329,1592.3166363500059,encode_ms,24,128.0
beam_rvq_group,239.82454072926583,237.81701320840511,dac,238.87391407818845,239.62712904904038,decode_ms,24,128.0
beam_rvq_group,1668.3525544627628,1646.3312212084322,dac,1657.4237802706193,1656.5002080751583,sequence_runtime_ms,24,128.0
beam_rvq_group,4650.932055542944,4417.90959472346,dac,4563.3959474119665,4628.615603083745,total_ms,24,128.0
beam_rvq_group,0.22960464526433347,0.20536861538798357,dac,0.22125223108451275,0.2285712188781081,end_to_end_rtf,24,128.0
beam_rvq_group,2128.176750824544,1675.417193257211,dac,1849.7190461979092,1654.7343989368528,encode_ms,24,247.0
beam_rvq_group,238.80018976463663,212.1655413604458,dac,227.64618012782498,237.25025565363467,decode_ms,24,247.0
beam_rvq_group,1933.5456107047016,1711.351222735296,dac,1812.2538957201566,1712.2404305264354,sequence_runtime_ms,24,247.0
beam_rvq_group,21897.503780698742,7959.806531987609,dac,13429.017311592665,5821.855515940115,total_ms,24,247.0
beam_rvq_group,0.29333385920415794,0.23820947597322056,dac,0.2593178399030935,0.23624212827035473,end_to_end_rtf,24,247.0
beam_rvq_group,2432.893927075201,1686.4778365100697,dac,2015.4916460451204,1651.020540157333,encode_ms,24,32.0
beam_rvq_group,234.68639333126094,206.2176698251278,dac,222.1268163896942,235.7935409527272,decode_ms,24,32.0
beam_rvq_group,2584.7856175375146,1910.055167721051,dac,2204.5431078295223,1798.2211544876918,sequence_runtime_ms,24,32.0
beam_rvq_group,6343.882469461094,4785.409892330305,dac,5454.425461037317,4527.340154047124,total_ms,24,32.0
beam_rvq_group,0.33051903453004045,0.23906008647698782,dac,0.279322277494835,0.23575656960711844,end_to_end_rtf,24,32.0
beam_rvq_group,1999.8812202107122,1567.2064151122565,dac,1785.9925925246596,1663.8296559685841,encode_ms,24,64.0
beam_rvq_group,229.9423165495682,192.9065192688237,dac,212.55335285483548,233.94841596018523,decode_ms,24,64.0
beam_rvq_group,2115.9311221167927,1738.3026628303924,dac,1907.3175380472094,1716.0776944365352,sequence_runtime_ms,24,64.0
beam_rvq_group,5442.486217960686,4517.211187189241,dac,4925.866074937706,4498.395906644873,total_ms,24,64.0
beam_rvq_group,0.2749450044955723,0.22356363261711895,dac,0.24947881621160475,0.23710394427306036,end_to_end_rtf,24,64.0
