ablation_id,ci95_hi,ci95_lo,codec_id,mean,median,metric,n
beam_rvq_group,782.013552362498,775.5622110199699,dac,778.7881852761865,778.4666984817334,objective_j,96
beam_rvq_group,338.3942170481198,338.26698388772394,dac,338.3302196220805,338.3267913758755,emission_cost,96
beam_rvq_group,477.0515406170072,470.1375353202442,dac,473.61071575710304,472.7631071732884,transition_cost,96
beam_rvq_group,443.6579327738167,437.22790784782705,dac,440.4579656541059,439.66968967115827,weighted_transition_cost,96
beam_rvq_group,11932.981730358013,11116.374489094576,dac,11518.266281769305,11134.444281524928,index_jitter,96
beam_rvq_group,0.36250763685239495,0.34228372434017595,dac,0.352394916911046,0.3489736070381232,file_switch_rate,96
beam_rvq_group,0.5829980755131966,0.5624075940860216,dac,0.5726722873900294,0.5777126099706745,adjacent_step_rate,96
beam_rvq_group,1824.945340807729,1671.163685787845,dac,1736.936660837576,1653.9712229277939,sequence_runtime_ms,96
greedy_rvq_group,926.5173568621369,918.4686880321804,dac,922.6724284436723,925.9834537397669,objective_j,96
greedy_rvq_group,338.2544520806055,338.1393928187434,dac,338.1968214213848,338.20557421445847,emission_cost,96
greedy_rvq_group,632.5557015814794,624.0007802530671,dac,628.4683946476209,632.1115440517647,transition_cost,96
greedy_rvq_group,588.2768024707759,580.3207256353525,dac,584.4756070222875,587.8637359681412,weighted_transition_cost,96
greedy_rvq_group,25141.034747678397,24198.216219910806,dac,24660.439943792764,24727.76539589443,index_jitter,96
greedy_rvq_group,0.7938698985826003,0.7673494012707721,dac,0.7810361681329424,0.7888563049853372,file_switch_rate,96
greedy_rvq_group,0.1619325818670577,0.13715634164222876,dac,0.14891862170087977,0.1378299120234604,adjacent_step_rate,96
greedy_rvq_group,2.8195080871834457,2.251652664563153,dac,2.497628580992265,2.2454099962487817,sequence_runtime_ms,96
greedy_smooth_rvq_group,802.1663170608098,795.5373308380823,dac,798.862716074895,798.6602303573261,objective_j,96
greedy_smooth_rvq_group,338.3840270642657,338.258045465049,dac,338.32066780577105,338.31717678904533,emission_cost,96
greedy_smooth_rvq_group,498.71918597086454,491.68888590624084,dac,495.206503515187,494.9959166254856,transition_cost,96
greedy_smooth_rvq_group,463.8088429529042,457.27066389280407,dac,460.542048269124,460.34620246170164,weighted_transition_cost,96
greedy_smooth_rvq_group,13895.901295973854,13060.078309048142,dac,13465.362200635389,13417.107038123166,index_jitter,96
greedy_smooth_rvq_group,0.4195694342619745,0.39845888318670575,dac,0.4086937927663734,0.41055718475073316,file_switch_rate,96
greedy_smooth_rvq_group,0.5135332661290323,0.49272589809384165,dac,0.5028714565004888,0.501466275659824,adjacent_step_rate,96
greedy_smooth_rvq_group,149.63673679606774,140.57728368115932,dac,145.0827203298104,134.3483020318672,sequence_runtime_ms,96
viterbi_rvq_group,723.7567307140307,720.3987300636182,dac,722.0559719913863,722.1508226033429,objective_j,96
viterbi_rvq_group,338.47490116112556,338.3413128297621,dac,338.4078175332397,338.3973658978939,emission_cost,96
viterbi_rvq_group,414.33812661227455,410.7530769799696,dac,412.52489726682415,412.5294572591196,transition_cost,96
viterbi_rvq_group,385.3344577494153,382.0003615913717,dac,383.6481544581464,383.6523952509813,weighted_transition_cost,96
viterbi_rvq_group,6695.33120188783,6231.541496364858,dac,6460.782044232648,6352.152492668622,index_jitter,96
viterbi_rvq_group,0.19868035190615832,0.18856839565004888,dac,0.19348729227761485,0.1906158357771261,file_switch_rate,96
viterbi_rvq_group,0.7683292094330403,0.7566585716031281,dac,0.762402248289345,0.7639296187683284,adjacent_step_rate,96
viterbi_rvq_group,13362.100181093047,12344.749839608994,dac,12834.631976933451,12405.662495526485,sequence_runtime_ms,96
