codec_id,ablation_id,metric,n,mean,median,ci95_lo,ci95_hi,paired_n,paired_median_difference,wilcoxon_p,wilcoxon_p_bh,effect_size_rank_biserial
spectrostream,greedy_rvq_group,fad,2,2.38805284816956,2.38805284816956,2.38805284816956,2.38805284816956,0,nan,nan,nan,nan
spectrostream,greedy_rvq_group,spectral_convergence,2,1.1248160409125671,1.1248160409125671,1.0116424710573697,1.2379896107677646,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,log_spectral_distance,2,24.00292205810547,24.00292205810547,22.218303680419922,25.787540435791016,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,token_discontinuity,2,0.9866015625,0.9866015625,0.98,0.993203125,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,envelope_correlation,2,0.9921367088943445,0.9921367088943445,0.9910772101670735,0.9931962076216154,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,index_jitter,2,9074.949494949495,9074.949494949495,9017.30303030303,9132.59595959596,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,source_onset_f1,2,0.9814814814814815,0.9814814814814815,0.962962962962963,1.0,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,output_to_nearest_palette_distance,2,15.472602367401123,15.472602367401123,14.467846870422363,16.477357864379883,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,palette_embedding_shift,2,-2.5857162475585938,-2.5857162475585938,-4.117574691772461,-1.0538578033447266,2,nan,nan,nan,nan
spectrostream,greedy_rvq_group,end_to_end_rtf,2,2.2652306020276076,2.2652306020276076,1.0060570543326104,3.5244041497226046,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,fad,2,2.3877058809126903,2.3877058809126903,2.3877058809126903,2.3877058809126903,0,nan,nan,nan,nan
spectrostream,beam_rvq_group,spectral_convergence,2,1.0986914950724591,1.0986914950724591,1.0087724400744742,1.188610550070444,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,log_spectral_distance,2,23.949057579040527,23.949057579040527,22.12158203125,25.776533126831055,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,token_discontinuity,2,0.9863671875,0.9863671875,0.98,0.992734375,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,envelope_correlation,2,0.9919625117958402,0.9919625117958402,0.9914687893995211,0.9924562341921593,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,index_jitter,2,4065.0202020202023,4065.0202020202023,3683.2727272727275,4446.767676767677,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,source_onset_f1,2,0.9814814814814815,0.9814814814814815,0.962962962962963,1.0,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,output_to_nearest_palette_distance,2,15.514599323272705,15.514599323272705,14.49565601348877,16.53354263305664,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,palette_embedding_shift,2,-2.5317740440368652,-2.5317740440368652,-3.9709091186523438,-1.0926389694213867,2,nan,nan,nan,nan
spectrostream,beam_rvq_group,end_to_end_rtf,2,0.9439119540933354,0.9439119540933354,0.9360643707514644,0.9517595374352064,2,nan,nan,nan,nan
