ablation_id,ci95_hi,ci95_lo,codec_id,mean,median,metric,n,rvq_focus
beam_rvq_group,0.9891445163933256,0.9848609804719036,dac,0.987121890338507,0.9881558103125292,envelope_correlation,24,0.0
beam_rvq_group,0.9848983920646598,0.9499826229139682,dac,0.9690672087722603,0.9786848072562357,source_onset_f1,24,0.0
beam_rvq_group,0.9873986987290909,0.9829759720476765,dac,0.9853066813652855,0.9864088181515062,transient_strength_correlation,24,0.0
beam_rvq_group,0.971871732919913,0.9650058582818349,dac,0.9684559088994403,0.9687226337875086,bandwise_envelope_correlation,24,0.0
beam_rvq_group,-10.00794072051843,-10.943575136860213,dac,-10.471328775087992,-10.5214204788208,palette_embedding_shift,24,0.0
beam_rvq_group,0.8760129885748028,0.7621175521984696,dac,0.8211553953588009,0.8454106152057648,token_change_rate_middle,24,0.0
beam_rvq_group,0.894244670557479,0.7877183984965086,dac,0.8431360746423403,0.8731884062290192,token_change_rate_fine,24,0.0
beam_rvq_group,0.9893162417521326,0.9852713022337778,dac,0.9873034289427703,0.9881256027035206,envelope_correlation,24,0.15
beam_rvq_group,0.986266507284782,0.9471344971409456,dac,0.96956901665496,0.9838331160365059,source_onset_f1,24,0.15
beam_rvq_group,0.9869409456283228,0.9809054884263405,dac,0.9840938897972001,0.9869475142481432,transient_strength_correlation,24,0.15
beam_rvq_group,0.9747316135620423,0.967790609477977,dac,0.9713832962621023,0.9720822007565071,bandwise_envelope_correlation,24,0.15
beam_rvq_group,-9.993671457966169,-10.921053011218707,dac,-10.456293980280558,-10.426427364349365,palette_embedding_shift,24,0.15
beam_rvq_group,0.8751514617974558,0.761975137113283,dac,0.8203301094472408,0.8478260934352875,token_change_rate_middle,24,0.15
beam_rvq_group,0.8931209798281391,0.7863471337283652,dac,0.8418679634730021,0.8729468584060669,token_change_rate_fine,24,0.15
beam_rvq_group,0.9896099303664609,0.9855806712576667,dac,0.9875251289434099,0.9881528366156208,envelope_correlation,24,0.3
beam_rvq_group,0.9847998641191635,0.9541081231509614,dac,0.9713620877495922,0.9823693164243736,source_onset_f1,24,0.3
beam_rvq_group,0.987261896603593,0.9824939663425653,dac,0.9850188906959466,0.9861022539170232,transient_strength_correlation,24,0.3
beam_rvq_group,0.972926751081688,0.9661648589877573,dac,0.9695107251202928,0.9683820693352403,bandwise_envelope_correlation,24,0.3
beam_rvq_group,-9.963579564293227,-10.946830670038858,dac,-10.459198037783304,-10.431286811828613,palette_embedding_shift,24,0.3
beam_rvq_group,0.8771583154797553,0.7628150143971045,dac,0.8213365549842516,0.8524154424667358,token_change_rate_middle,24,0.3
beam_rvq_group,0.893100340416034,0.7862308815121651,dac,0.8419686034321785,0.8736715018749237,token_change_rate_fine,24,0.3
beam_rvq_group,0.9893576845312199,0.9843105535478918,dac,0.9869888504691312,0.9887322525562395,envelope_correlation,24,0.5
beam_rvq_group,0.9839514485757384,0.9506618583611052,dac,0.969795910561498,0.980361956103196,source_onset_f1,24,0.5
beam_rvq_group,0.9865001170244352,0.9823987779895135,dac,0.9844908423238913,0.9849966600003233,transient_strength_correlation,24,0.5
beam_rvq_group,0.9735859563304654,0.9662928939245677,dac,0.9701237171102717,0.9735117983127086,bandwise_envelope_correlation,24,0.5
beam_rvq_group,-9.990848118066788,-10.975800423820814,dac,-10.48142397403717,-10.407110214233398,palette_embedding_shift,24,0.5
beam_rvq_group,0.8775774892419577,0.7640292879194021,dac,0.8223631232976913,0.8533816337585449,token_change_rate_middle,24,0.5
beam_rvq_group,0.8933459139118591,0.7868080776184798,dac,0.842351051668326,0.8714976012706757,token_change_rate_fine,24,0.5
beam_rvq_group,0.9894911487844954,0.984356372398728,dac,0.9870625455001685,0.9879571231430817,envelope_correlation,24,0.7
beam_rvq_group,0.9852174699720407,0.956372948373666,dac,0.97282698852963,0.9814751286449399,source_onset_f1,24,0.7
beam_rvq_group,0.9859861837427656,0.9813418271458185,dac,0.9837490399557222,0.985187154888949,transient_strength_correlation,24,0.7
beam_rvq_group,0.9724611509744147,0.9637676806155474,dac,0.9683506038073585,0.9692176792733449,bandwise_envelope_correlation,24,0.7
beam_rvq_group,-9.924494902292887,-10.899954760074614,dac,-10.4136110941569,-10.31977653503418,palette_embedding_shift,24,0.7
beam_rvq_group,0.8794902433951696,0.7664799767856797,dac,0.8251409033934275,0.8557971119880676,token_change_rate_middle,24,0.7
beam_rvq_group,0.8947086312497655,0.7897982063392799,dac,0.8443035408854485,0.8736715018749237,token_change_rate_fine,24,0.7
beam_rvq_group,0.9898344117011026,0.9859657567934844,dac,0.9880585813910495,0.9889144002816401,envelope_correlation,24,0.85
beam_rvq_group,0.9833670414919384,0.9498560007527767,dac,0.9683087334052819,0.980361956103196,source_onset_f1,24,0.85
beam_rvq_group,0.9865937654014821,0.9807104869346984,dac,0.983765648571843,0.9850116980033511,transient_strength_correlation,24,0.85
beam_rvq_group,0.9728424708544201,0.9639626081691459,dac,0.9686143276252549,0.971648591948947,bandwise_envelope_correlation,24,0.85
beam_rvq_group,-9.908949835101764,-10.852246712644895,dac,-10.382283608118692,-10.293297290802002,palette_embedding_shift,24,0.85
beam_rvq_group,0.8812489937370022,0.7691601263359189,dac,0.8271940400203069,0.855555534362793,token_change_rate_middle,24,0.85
beam_rvq_group,0.8957945900658766,0.790800629556179,dac,0.8456320489446322,0.8763284981250763,token_change_rate_fine,24,0.85
beam_rvq_group,0.9896512260100984,0.9864631482464454,dac,0.9880287785318685,0.9882683180790608,envelope_correlation,24,1.0
beam_rvq_group,0.9841722678368666,0.9454550587224312,dac,0.9671692569621818,0.9807621161672215,source_onset_f1,24,1.0
beam_rvq_group,0.9876726510967037,0.983479654477328,dac,0.9857062520161292,0.9861124687965388,transient_strength_correlation,24,1.0
beam_rvq_group,0.9728301181037223,0.96652313531557,dac,0.969684724100742,0.9703157518641583,bandwise_envelope_correlation,24,1.0
beam_rvq_group,-9.86771963238716,-10.80435631175836,dac,-10.336315790812174,-10.323315620422363,palette_embedding_shift,24,1.0
beam_rvq_group,0.8822307751203576,0.7701726069053014,dac,0.8283212557435036,0.8560386598110199,token_change_rate_middle,24,1.0
beam_rvq_group,0.8968800331776341,0.7921794501443704,dac,0.8466988752285639,0.8792270720005035,token_change_rate_fine,24,1.0
