ablation_id,ci95_hi,ci95_lo,codec_id,mean,median,metric,n,stride,unit
beam_rvq_group,0.9898290863144001,0.9847570190178129,dac,0.9873828447340669,0.9885670012401457,envelope_correlation,24,4,11
beam_rvq_group,0.9786001117361888,0.9455249947084329,dac,0.9637289278633299,0.9715544871794872,source_onset_f1,24,4,11
beam_rvq_group,0.985897756560468,0.9812396834776587,dac,0.9836205757864382,0.9845077171159851,transient_strength_correlation,24,4,11
beam_rvq_group,0.9718428928257321,0.9636100358780504,dac,0.9677684523387438,0.9692929896735738,bandwise_envelope_correlation,24,4,11
beam_rvq_group,-9.989672313133875,-10.958719673752784,dac,-10.477898200352987,-10.45034408569336,palette_embedding_shift,24,4,11
beam_rvq_group,0.8761704904958605,0.7622171907996138,dac,0.8213365549842516,0.8487922549247742,token_change_rate_middle,24,4,11
beam_rvq_group,0.8916681728015343,0.7858096751694877,dac,0.8405998349189758,0.869082123041153,token_change_rate_fine,24,4,11
beam_rvq_group,1103.6763924945262,893.6034216433958,dac,991.1088829879494,853.2771555474028,sequence_runtime_ms,24,4,11
beam_rvq_group,0.2771648266404886,0.22140308067026593,dac,0.24976692945165757,0.23393754051668386,end_to_end_rtf,24,4,11
beam_rvq_group,0.9908722010068388,0.9869978932937347,dac,0.9889169699338257,0.9895311734711142,envelope_correlation,24,1,3
beam_rvq_group,0.9815479475424228,0.9498781915856983,dac,0.9674296108318806,0.9781680113906028,source_onset_f1,24,1,3
beam_rvq_group,0.9885260328023082,0.9841279801825625,dac,0.9864704746640521,0.9876606883778005,transient_strength_correlation,24,1,3
beam_rvq_group,0.9763629190615177,0.9706198538984819,dac,0.9735111333495583,0.9724981130234462,bandwise_envelope_correlation,24,1,3
beam_rvq_group,-10.1432800501585,-11.10872543156147,dac,-10.624846498171488,-10.482769012451172,palette_embedding_shift,24,1,3
beam_rvq_group,0.8682171009480953,0.7514195978951951,dac,0.8119565298159918,0.8408212661743164,token_change_rate_middle,24,1,3
beam_rvq_group,0.8873198462029298,0.7776957479616006,dac,0.8347423498829206,0.8647343218326569,token_change_rate_fine,24,1,3
beam_rvq_group,3874.5864036298976,3461.968028293874,dac,3646.068872321242,3442.9715189617127,sequence_runtime_ms,24,1,3
beam_rvq_group,0.24617943863719297,0.21378714022397166,dac,0.23286940158955174,0.2382202138087648,end_to_end_rtf,24,1,3
beam_rvq_group,0.989940535391604,0.9843811574943622,dac,0.9873375736651463,0.9889976968422478,envelope_correlation,24,1,5
beam_rvq_group,0.9870968844397465,0.9551300358569611,dac,0.9732618803081969,0.9814751286449399,source_onset_f1,24,1,5
beam_rvq_group,0.987793321837827,0.9825187076362013,dac,0.9852869061078725,0.9860127913537722,transient_strength_correlation,24,1,5
beam_rvq_group,0.9726711522042883,0.9641234835013374,dac,0.9685105579480644,0.9710640814816431,bandwise_envelope_correlation,24,1,5
beam_rvq_group,-9.980279771486918,-10.93494617342949,dac,-10.45238204797109,-10.303672313690186,palette_embedding_shift,24,1,5
beam_rvq_group,0.8744162669405342,0.7614034766331315,dac,0.8197866330544153,0.8471014499664307,token_change_rate_middle,24,1,5
beam_rvq_group,0.8937882481763759,0.7869630658378204,dac,0.8425322075684866,0.8731884062290192,token_change_rate_fine,24,1,5
beam_rvq_group,3744.100118256998,3478.2257135356,dac,3590.76509665465,3500.5504194414243,sequence_runtime_ms,24,1,5
beam_rvq_group,0.2604416072473373,0.2157935779965035,dac,0.2392910564085172,0.23708822899498438,end_to_end_rtf,24,1,5
beam_rvq_group,0.9896099303664609,0.9855806712576667,dac,0.9875251289434099,0.9881528366156208,envelope_correlation,24,2,7
beam_rvq_group,0.9847998641191635,0.9541081231509614,dac,0.9713620877495922,0.9823693164243736,source_onset_f1,24,2,7
beam_rvq_group,0.987261896603593,0.9824939663425653,dac,0.9850188906959466,0.9861022539170232,transient_strength_correlation,24,2,7
